Comunidades y ciudades autónomas;Grupo de edad;Periodo;Total
Total Nacional;Todas las edades;2022;36.161
Total Nacional;Todas las edades;2021;33.068
Total Nacional;Todas las edades;2020;25.436
Total Nacional;Todas las edades;2019;30.495
Total Nacional;Todas las edades;2018;27.972
Total Nacional;Todas las edades;2017;27.202
Total Nacional;Todas las edades;2016;25.959
Total Nacional;Todas las edades;2015;24.265
Andalucía;Todas las edades;2022;6.856
Andalucía;Todas las edades;2021;6.457
Andalucía;Todas las edades;2020;5.113
Andalucía;Todas las edades;2019;6.110
Andalucía;Todas las edades;2018;5.676
Andalucía;Todas las edades;2017;5.496
Andalucía;Todas las edades;2016;5.140
Andalucía;Todas las edades;2015;4.773
Aragón;Todas las edades;2022;963
Aragón;Todas las edades;2021;899
Aragón;Todas las edades;2020;717
Aragón;Todas las edades;2019;788
Aragón;Todas las edades;2018;764
Aragón;Todas las edades;2017;680
Aragón;Todas las edades;2016;651
Aragón;Todas las edades;2015;507
Asturias, Principado de;Todas las edades;2022;894
Asturias, Principado de;Todas las edades;2021;766
Asturias, Principado de;Todas las edades;2020;534
Asturias, Principado de;Todas las edades;2019;689
Asturias, Principado de;Todas las edades;2018;647
Asturias, Principado de;Todas las edades;2017;653
Asturias, Principado de;Todas las edades;2016;599
Asturias, Principado de;Todas las edades;2015;542
Balears, Illes;Todas las edades;2022;1.366
Balears, Illes;Todas las edades;2021;1.294
Balears, Illes;Todas las edades;2020;1.022
Balears, Illes;Todas las edades;2019;1.348
Balears, Illes;Todas las edades;2018;1.181
Balears, Illes;Todas las edades;2017;1.213
Balears, Illes;Todas las edades;2016;1.196
Balears, Illes;Todas las edades;2015;954
Canarias;Todas las edades;2022;2.774
Canarias;Todas las edades;2021;2.641
Canarias;Todas las edades;2020;2.257
Canarias;Todas las edades;2019;2.438
Canarias;Todas las edades;2018;2.184
Canarias;Todas las edades;2017;2.130
Canarias;Todas las edades;2016;2.002
Canarias;Todas las edades;2015;1.773
Cantabria;Todas las edades;2022;392
Cantabria;Todas las edades;2021;362
Cantabria;Todas las edades;2020;310
Cantabria;Todas las edades;2019;358
Cantabria;Todas las edades;2018;374
Cantabria;Todas las edades;2017;312
Cantabria;Todas las edades;2016;257
Cantabria;Todas las edades;2015;256
Castilla y León;Todas las edades;2022;1.250
Castilla y León;Todas las edades;2021;1.144
Castilla y León;Todas las edades;2020;811
Castilla y León;Todas las edades;2019;1.069
Castilla y León;Todas las edades;2018;1.046
Castilla y León;Todas las edades;2017;1.050
Castilla y León;Todas las edades;2016;1.000
Castilla y León;Todas las edades;2015;981
Castilla - La Mancha;Todas las edades;2022;1.441
Castilla - La Mancha;Todas las edades;2021;1.277
Castilla - La Mancha;Todas las edades;2020;950
Castilla - La Mancha;Todas las edades;2019;1.144
Castilla - La Mancha;Todas las edades;2018;1.116
Castilla - La Mancha;Todas las edades;2017;1.075
Castilla - La Mancha;Todas las edades;2016;1.087
Castilla - La Mancha;Todas las edades;2015;1.078
Cataluña;Todas las edades;2022;3.984
Cataluña;Todas las edades;2021;3.857
Cataluña;Todas las edades;2020;2.896
Cataluña;Todas las edades;2019;3.339
Cataluña;Todas las edades;2018;3.101
Cataluña;Todas las edades;2017;2.961
Cataluña;Todas las edades;2016;3.049
Cataluña;Todas las edades;2015;2.900
Comunitat Valenciana;Todas las edades;2022;5.215
Comunitat Valenciana;Todas las edades;2021;4.855
Comunitat Valenciana;Todas las edades;2020;3.823
Comunitat Valenciana;Todas las edades;2019;4.565
Comunitat Valenciana;Todas las edades;2018;4.130
Comunitat Valenciana;Todas las edades;2017;4.062
Comunitat Valenciana;Todas las edades;2016;3.794
Comunitat Valenciana;Todas las edades;2015;3.559
Extremadura;Todas las edades;2022;783
Extremadura;Todas las edades;2021;726
Extremadura;Todas las edades;2020;610
Extremadura;Todas las edades;2019;659
Extremadura;Todas las edades;2018;578
Extremadura;Todas las edades;2017;605
Extremadura;Todas las edades;2016;605
Extremadura;Todas las edades;2015;631
Galicia;Todas las edades;2022;1.525
Galicia;Todas las edades;2021;1.426
Galicia;Todas las edades;2020;1.124
Galicia;Todas las edades;2019;1.319
Galicia;Todas las edades;2018;1.213
Galicia;Todas las edades;2017;1.160
Galicia;Todas las edades;2016;1.048
Galicia;Todas las edades;2015;996
Madrid, Comunidad de;Todas las edades;2022;3.833
Madrid, Comunidad de;Todas las edades;2021;3.317
Madrid, Comunidad de;Todas las edades;2020;2.397
Madrid, Comunidad de;Todas las edades;2019;3.081
Madrid, Comunidad de;Todas las edades;2018;2.678
Madrid, Comunidad de;Todas las edades;2017;2.726
Madrid, Comunidad de;Todas las edades;2016;2.555
Madrid, Comunidad de;Todas las edades;2015;2.518
Murcia, Región de;Todas las edades;2022;1.960
Murcia, Región de;Todas las edades;2021;1.742
Murcia, Región de;Todas las edades;2020;1.207
Murcia, Región de;Todas las edades;2019;1.484
Murcia, Región de;Todas las edades;2018;1.425
Murcia, Región de;Todas las edades;2017;1.347
Murcia, Región de;Todas las edades;2016;1.300
Murcia, Región de;Todas las edades;2015;1.212
Navarra, Comunidad Foral de;Todas las edades;2022;589
Navarra, Comunidad Foral de;Todas las edades;2021;453
Navarra, Comunidad Foral de;Todas las edades;2020;310
Navarra, Comunidad Foral de;Todas las edades;2019;416
Navarra, Comunidad Foral de;Todas las edades;2018;358
Navarra, Comunidad Foral de;Todas las edades;2017;329
Navarra, Comunidad Foral de;Todas las edades;2016;293
Navarra, Comunidad Foral de;Todas las edades;2015;247
País Vasco;Todas las edades;2022;1.833
País Vasco;Todas las edades;2021;1.486
País Vasco;Todas las edades;2020;1.078
País Vasco;Todas las edades;2019;1.358
País Vasco;Todas las edades;2018;1.146
País Vasco;Todas las edades;2017;1.089
País Vasco;Todas las edades;2016;1.066
País Vasco;Todas las edades;2015;1.049
Rioja, La;Todas las edades;2022;329
Rioja, La;Todas las edades;2021;232
Rioja, La;Todas las edades;2020;176
Rioja, La;Todas las edades;2019;217
