Lugar de nacimiento del condenado;Edad del condenado;Periodo;Total
Total;Todas las edades;2022;36.161
Total;Todas las edades;2021;33.068
Total;Todas las edades;2020;25.436
Total;Todas las edades;2019;30.495
Total;Todas las edades;2018;27.972
Total;Todas las edades;2017;27.202
Total;Todas las edades;2016;25.959
Total;Todas las edades;2015;24.265
Total;Menos de 18 años;2022;75
Total;Menos de 18 años;2021;83
Total;Menos de 18 años;2020;85
Total;Menos de 18 años;2019;130
Total;Menos de 18 años;2018;92
Total;Menos de 18 años;2017;99
Total;Menos de 18 años;2016;81
Total;Menos de 18 años;2015;82
Total;De 18 a 19 años;2022;631
Total;De 18 a 19 años;2021;632
Total;De 18 a 19 años;2020;502
Total;De 18 a 19 años;2019;695
Total;De 18 a 19 años;2018;610
Total;De 18 a 19 años;2017;605
Total;De 18 a 19 años;2016;533
Total;De 18 a 19 años;2015;507
Total;De 20 a 24 años;2022;3.188
Total;De 20 a 24 años;2021;3.032
Total;De 20 a 24 años;2020;2.180
Total;De 20 a 24 años;2019;2.906
Total;De 20 a 24 años;2018;2.707
Total;De 20 a 24 años;2017;2.598
Total;De 20 a 24 años;2016;2.481
Total;De 20 a 24 años;2015;2.292
Total;De 25 a 29 años;2022;4.398
Total;De 25 a 29 años;2021;4.051
Total;De 25 a 29 años;2020;3.164
Total;De 25 a 29 años;2019;3.840
Total;De 25 a 29 años;2018;3.399
Total;De 25 a 29 años;2017;3.409
Total;De 25 a 29 años;2016;3.363
Total;De 25 a 29 años;2015;3.050
Total;De 30 a 34 años;2022;5.572
Total;De 30 a 34 años;2021;4.959
Total;De 30 a 34 años;2020;3.917
Total;De 30 a 34 años;2019;4.459
Total;De 30 a 34 años;2018;4.261
Total;De 30 a 34 años;2017;4.098
Total;De 30 a 34 años;2016;3.830
Total;De 30 a 34 años;2015;3.739
Total;De 35 a 39 años;2022;5.837
Total;De 35 a 39 años;2021;5.429
Total;De 35 a 39 años;2020;4.108
Total;De 35 a 39 años;2019;5.107
Total;De 35 a 39 años;2018;4.678
Total;De 35 a 39 años;2017;4.613
Total;De 35 a 39 años;2016;4.340
Total;De 35 a 39 años;2015;4.176
Total;De 40 a 44 años;2022;5.716
Total;De 40 a 44 años;2021;5.293
Total;De 40 a 44 años;2020;4.097
Total;De 40 a 44 años;2019;4.748
Total;De 40 a 44 años;2018;4.303
Total;De 40 a 44 años;2017;4.131
Total;De 40 a 44 años;2016;4.015
Total;De 40 a 44 años;2015;3.631
Total;De 45 a 49 años;2022;4.355
